Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,4.190000,4.210000,4.180000,4.190000,3.472719,1199000
2013-11-05,4.170000,4.180000,4.160000,4.180000,3.464431,767000
2013-11-06,4.200000,4.210000,4.180000,4.200000,3.481007,1444000
2013-11-07,4.210000,4.220000,4.180000,4.200000,3.481007,1074000
2013-11-08,4.150000,4.150000,4.030000,4.050000,3.356686,6997000
2013-11-11,4.060000,4.060000,3.990000,4.050000,3.356686,3584000
2013-11-12,4.040000,4.040000,4.000000,4.000000,3.315245,2558000
2013-11-13,4.020000,4.020000,3.950000,4.000000,3.315245,1965000
2013-11-14,4.020000,4.030000,3.980000,3.980000,3.298669,1753000
2013-11-15,4.000000,4.010000,3.980000,4.010000,3.323533,1919000
2013-11-18,4.030000,4.060000,4.000000,4.000000,3.315245,1788000
2013-11-19,4.000000,4.040000,3.990000,4.040000,3.348397,912000
2013-11-20,4.040000,4.040000,3.990000,4.000000,3.315245,1713000
2013-11-21,4.000000,4.000000,3.960000,3.960000,3.282093,2944000
2013-11-22,3.960000,3.980000,3.960000,3.970000,3.290381,1552000
2013-11-25,3.990000,4.040000,3.990000,4.030000,3.340109,1503000
2013-11-26,4.040000,4.050000,3.980000,3.980000,3.298669,1411000
2013-11-27,4.000000,4.020000,3.970000,4.000000,3.315245,1172000
2013-11-28,4.000000,4.070000,4.000000,4.020000,3.331821,1659000
2013-11-29,4.020000,4.050000,4.020000,4.040000,3.348397,4215000
2013-12-02,4.030000,4.040000,4.010000,4.010000,3.323533,740000
2013-12-03,4.000000,4.030000,4.000000,4.030000,3.340109,1402000
2013-12-04,4.000000,4.020000,3.970000,3.990000,3.306957,2149000
2013-12-05,3.960000,3.970000,3.910000,3.910000,3.240652,3740000
2013-12-06,3.900000,3.920000,3.900000,3.900000,3.232364,2674000
2013-12-09,3.910000,3.920000,3.860000,3.870000,3.207499,2570000
2013-12-10,3.870000,3.900000,3.820000,3.830000,3.174347,3315000
2013-12-11,3.810000,3.830000,3.780000,3.800000,3.149482,3223000
2013-12-12,3.760000,3.810000,3.750000,3.790000,3.141195,2009000
2013-12-13,3.780000,3.800000,3.780000,3.780000,3.132906,2238000
2013-12-16,3.760000,3.780000,3.760000,3.760000,3.116330,1706000
2013-12-17,3.750000,3.780000,3.730000,3.780000,3.132906,2577000
