Date,Sentiment
2019-05-10,0.0
2019-04-29,-0.6145
2019-04-25,0.10115
2019-04-16,0.6306
2019-04-12,0.6705
2019-04-11,0.125
2019-04-03,0.046
2019-03-07,0.37565
2019-03-05,0.47965
2019-03-04,0.2202
2019-02-15,0.3404
2019-02-13,0.0413
2019-02-07,0.23835
2019-01-31,0.69225
2019-01-30,0.7862
2019-01-29,0.0382
2019-01-24,0.2997
2019-01-23,0.0258
2019-01-12,0.0129
2019-01-11,0.0129
2018-12-11,0.0129
2018-11-27,0.35525
2018-11-22,-0.31845
2018-11-21,-0.31845
2018-11-12,0.0
2018-10-23,0.05135
2018-10-22,0.0
2018-09-20,0.30555
2018-09-19,0.3454
2018-09-12,0.0
2018-09-11,0.2628
2018-09-10,0.0
2018-09-08,0.26335
2018-09-07,0.26335
2018-09-03,0.3182
2018-08-25,0.1591
2018-08-24,0.2553
2018-08-23,0.29635
2018-08-22,0.0
2018-08-21,0.2294
2018-08-17,0.0129
2018-08-16,0.0129
2018-08-08,-0.10115
2018-08-07,-0.10115
2018-08-03,0.3291
2018-08-02,0.43335
2018-07-24,-0.1651
2018-07-23,0.2202
2018-07-18,0.17
2018-07-10,0.1366
2018-07-07,0.36005
2018-07-03,0.0
2018-05-30,0.0
2018-05-29,0.3774
2018-05-28,0.24915
2018-05-07,0.12755
2018-05-05,0.4404
2018-05-04,0.68305
2018-05-01,-0.19695
2018-04-25,0.2891
2018-04-23,0.4869
2018-04-17,-0.3612
2018-04-16,-0.3612
2018-04-12,0.0
2018-04-10,0.0
2018-04-09,0.38775
2018-04-04,-0.1473
2018-04-03,-0.1473
2018-04-02,0.23695
2018-03-20,-0.4906
2018-03-19,0.0
2018-03-05,0.5736
2018-03-01,0.064
2018-02-28,-0.00645
2018-02-27,0.11405
2018-02-26,0.20095
2018-02-08,0.1366
2018-02-06,0.0
2018-01-30,0.23835
2018-01-29,0.23835
2018-01-25,-0.23925
2018-01-12,-0.3062
2018-01-10,-0.02495
2018-01-09,0.23835
2018-01-05,0.0
2018-01-04,0.0
2017-12-18,-0.0129
2017-12-15,0.1351
2017-12-07,0.5624
2017-12-06,0.39185
2017-12-01,0.148
2017-11-30,0.084
2017-11-22,0.7125
2017-11-21,0.2202
2017-11-20,0.0772
2017-11-14,0.482
2017-11-13,0.0
2017-11-11,0.0
2017-11-03,0.0
2017-11-02,0.05135
2017-10-12,0.3404
2017-10-11,0.064
2017-10-10,-0.14055
2017-10-09,-0.0254
2017-09-28,0.3527
2017-09-27,0.1366
2017-09-26,0.08255
2017-09-15,0.0
2017-09-13,0.07605
2017-09-12,-0.12605
2017-08-24,0.3825
2017-08-23,-0.128
2017-08-19,0.0129
2017-08-17,0.24695
2017-08-16,0.296
2017-08-09,0.0
2017-08-08,0.0
2017-08-07,0.5917
2017-07-26,0.0
2017-07-25,0.0
2017-07-21,0.4019
2017-07-20,-0.76835
2017-07-11,0.21075
2017-07-05,0.28335
2017-06-28,0.17
2017-06-19,0.33155
2017-06-16,0.1609
2017-06-12,0.0
2017-06-10,0.6306
2017-06-09,0.61365
2017-06-08,0.13955
2017-06-03,0.1609
2017-05-18,0.55545
2017-05-03,0.0129
2017-04-11,0.08895
2017-03-24,0.4884
2017-03-23,0.5106
2017-03-22,0.0
2017-03-18,-0.11315
2017-03-07,0.0
2017-03-03,0.4455
2017-02-27,-0.7923
2017-02-21,-0.08895
2017-02-20,-0.08895
2017-02-16,0.0
2017-02-15,0.0
2017-02-14,0.46295
2017-02-09,-0.2587
2017-01-28,-0.08895
2017-01-26,0.34
2017-01-24,0.1909
2017-01-23,0.48385
