Date,Sentiment
2019-05-02,-0.1806
2019-05-01,0.4061
2019-04-30,0.17
2019-04-29,0.17
2019-04-22,-0.05465
2019-04-18,-0.01255
2019-04-17,-0.4267
2019-04-16,0.0
2019-04-12,0.62265
2019-04-11,0.6054
2019-04-09,-0.33335
2019-04-06,0.37385
2019-04-04,0.0
2019-04-02,0.2372
2019-04-01,-0.1777
2019-03-30,0.27115
2019-03-28,-0.70515
2019-03-27,-0.5662
2019-03-26,0.5457
2019-03-25,0.1591
2019-03-23,0.10115
2019-03-22,0.0386
2019-03-20,0.0
2019-03-19,0.0
2019-03-16,0.31845
2019-03-14,0.32455
2019-03-13,0.0
2019-03-08,0.0
2019-03-06,0.21325
2019-03-01,0.0
2019-02-28,0.0
2019-02-26,0.0
2019-02-22,0.20095
2019-02-15,-0.17
2019-02-14,-0.28235
2019-02-11,0.2553
2019-02-07,-0.39495
2019-02-06,-0.34895
2019-02-02,0.0
2019-02-01,-0.54415
2019-01-31,0.0
2019-01-30,0.4721
2019-01-29,0.3062
2019-01-28,-0.52525
2019-01-24,0.4019
2019-01-23,-0.193
2019-01-18,-0.3702
2019-01-15,-0.296
2019-01-14,0.3001
2019-01-12,0.5998
2019-01-10,-0.2553
2019-01-09,-0.148
2019-01-08,-0.3062
2019-01-07,0.20095
2019-01-05,0.56555
2019-01-04,-0.54985
2019-01-03,-0.77325
2018-12-21,-0.65865
2018-12-20,-0.148
2018-12-19,-0.601
2018-12-18,-0.601
2018-12-17,-0.4111
2018-12-15,-0.6135
2018-12-14,0.0
2018-12-13,-0.05135
2018-12-12,0.2294
2018-12-11,-0.63875
2018-12-10,-0.5897
2018-12-06,-0.1366
2018-12-03,0.08895
2018-12-01,0.6711
2018-11-27,0.64845
2018-11-20,0.20095
2018-11-19,-0.6335
2018-11-16,0.29295
2018-11-15,-0.1868
2018-11-14,-0.1056
2018-11-13,-0.128
2018-11-12,-0.55005
2018-11-09,0.0
2018-11-06,0.31835
2018-11-05,0.158
2018-11-03,0.45175
2018-11-02,0.02495
2018-11-01,0.1366
2018-10-31,-0.0109
2018-10-30,-0.0109
2018-10-27,0.0
2018-10-15,0.1591
2018-10-12,0.2997
2018-10-11,-0.1591
2018-10-10,0.23955
2018-10-09,-0.26415
2018-10-05,-0.26715
2018-10-04,0.20095
2018-10-03,0.20095
2018-10-01,0.20095
2018-09-28,-0.21395
2018-09-27,0.26335
2018-09-26,-0.3592
2018-09-18,0.21075
2018-09-14,-0.148
2018-09-13,0.0
2018-09-11,0.63135
2018-09-10,-0.0526
2018-09-08,-0.07655
2018-09-07,0.1366
2018-09-06,0.25895
2018-09-05,0.54455
2018-09-01,-0.23835
2018-08-31,0.3345
2018-08-30,-0.36605
2018-08-29,0.0
2018-08-27,0.1591
2018-08-24,0.08895
2018-08-22,0.0
2018-08-21,-0.53865
2018-08-20,-0.65765
2018-08-16,-0.39185
2018-08-14,0.29295
2018-08-13,0.1751
