Date,Sentiment
2019-11-22,-0.72495
2019-11-20,-0.14495
2019-11-19,0.1531
2019-11-17,-0.3953
2019-11-16,0.0
2019-11-14,-0.0774
2019-11-13,-0.20095
2019-11-12,0.029725
2019-11-10,-0.1806
2019-11-09,0.4126
2019-11-08,-0.01865
2019-11-06,0.4375
2019-10-31,-0.194425
2019-10-30,-0.28355
2019-10-29,-0.4043
2019-10-25,-0.332875
2019-10-24,0.31275
2019-10-23,-0.17455
2019-10-21,-0.60895
2019-10-19,-0.09735
2019-10-11,0.2023
2019-10-10,0.077725
2019-10-08,-0.5792
2019-10-05,-0.6102
2019-10-03,0.3294
2019-10-01,0.21075
2019-09-29,0.44115
2019-09-28,0.07655
2019-09-27,0.27695
2019-09-26,-0.23955
2019-09-25,-0.293483
2019-09-24,-0.2855
2019-09-19,-0.69335
2019-09-18,-0.72345
2019-09-17,0.228075
2019-09-14,0.57265
2019-09-07,-0.4467
2019-07-26,0.126225
2019-07-25,-0.313383
2019-07-17,-0.18795
2019-07-15,0.05135
2019-07-13,0.009775
2019-07-12,-0.37895
2019-07-09,-0.63845
2019-07-08,-0.2608
2019-07-05,-0.17055
2019-07-04,-0.07775
2019-07-01,-0.3825
2019-06-30,0.10115
2019-06-29,0.10115
2019-06-28,-0.413283
2019-06-27,-0.45995
2019-06-21,0.4767
2019-06-20,-0.0107
2019-06-19,-0.311325
2019-06-07,-0.37635
2019-06-06,-0.23845
2019-06-03,-0.4588
2019-05-31,-0.5913
2019-05-30,-0.205925
2019-05-29,-0.12975
2019-05-24,0.58605
2019-05-22,-0.5177
2019-05-21,-0.1806
2019-05-19,-0.2202
2019-05-17,-0.27115
2019-05-16,0.127425
2019-05-15,-0.4632
2019-05-11,0.36065
2019-05-08,0.0
2019-05-06,0.23075
2019-05-04,0.31845
2019-05-02,-0.26395
2019-05-01,0.07105
2019-04-30,-0.3558
2019-04-29,0.22355
2019-04-26,0.3548
2019-04-25,-0.58685
2019-04-24,0.26335
2019-04-22,-0.2792
2019-04-21,-0.1918
2019-04-18,-0.249575
2019-04-17,-0.186475
2019-04-16,-0.254675
2019-04-13,-0.455
2019-04-12,-0.4559
2019-04-11,-0.279025
2019-04-10,-0.4763
2019-04-09,-0.290583
2019-04-08,-0.21075
2019-04-07,0.226425
2019-04-06,-0.292083
2019-04-05,-0.549875
2019-04-04,-0.13695
2019-04-03,-0.74655
2019-04-02,-0.03555
2019-03-30,-0.7357
2019-03-29,-0.470425
2019-03-28,-0.013825
2019-03-27,0.22998
2019-03-26,-0.4061
2019-03-25,0.14825
2019-03-23,-0.45895
2019-03-22,-0.234225
2019-03-21,-0.41329
2019-03-20,-0.112325
2019-03-19,-0.22125
2019-03-18,-0.105742
2019-03-17,-0.08365
2019-03-16,-0.4531
2019-03-15,-0.3116
2019-03-14,-0.140361
2019-03-13,-0.327909
2019-03-12,-0.382109
2019-03-11,-0.66025
2019-03-10,-0.66895
2019-02-28,0.00925
2019-02-27,0.026375
2019-02-22,0.045625
2019-02-03,-0.59915
2019-01-24,0.3942
2019-01-11,0.292
2019-01-03,-0.42775
2018-12-30,-0.83915
2018-12-29,-0.83915
2018-12-26,-0.74495
2018-12-17,-0.3637
2018-12-08,0.3787
2018-12-07,0.17775
2018-12-06,-0.5039
2018-12-05,-0.6033
2018-12-04,-0.74945
2018-11-30,-0.5868
2018-11-20,-0.3831
2018-11-17,-0.74605
2018-11-16,-0.7318
2018-11-15,-0.5943
2018-11-14,0.08225
2018-11-13,-0.4491
2018-11-10,-0.63385
2018-11-08,0.05135
2018-11-07,-0.372033
2018-11-05,0.0
2018-10-31,-0.4019
2018-10-30,-0.60975
2018-10-29,0.0
2018-07-16,-0.004575
2018-07-09,0.6625
2018-06-26,0.3592
2018-05-20,-0.36335
2018-05-14,-0.03725
2018-05-09,0.0898
2018-04-26,0.199225
2018-04-18,-0.30975
2018-04-10,0.5792
2018-04-05,-0.5745
2018-03-29,-0.60985
2018-03-27,-0.0669
2018-03-26,0.0
2018-02-28,0.46005
2018-02-22,0.0
2018-02-04,-0.2732
2018-01-28,0.5399
