Date,Sentiment
2019-12-09,-0.83955
2019-12-06,0.10115
2019-11-22,0.1806
2019-11-21,0.1806
2019-11-12,0.1366
2019-10-31,0.69565
2019-10-25,-0.1795
2019-10-24,0.3243
2019-10-16,-0.148
2019-10-08,0.276375
2019-10-07,0.3715
2019-10-02,-0.3753
2019-10-01,-0.0369
2019-09-30,0.5901
2019-09-24,-0.081875
2019-09-11,-0.0546
2019-09-10,-0.29295
2019-09-06,0.21075
2019-09-05,0.21075
2019-08-30,0.18
2019-08-29,0.139525
2019-08-20,-0.07655
2019-08-19,0.12925
2019-08-14,0.1591
2019-08-09,-0.28315
2019-08-08,0.0613
2019-08-07,-0.2787
2019-08-01,0.64425
2019-07-31,0.69845
2019-07-16,0.1806
2019-07-15,0.08895
2019-07-14,-0.32455
2019-07-06,0.41495
2019-07-05,0.8102
2019-07-04,-0.06435
2019-07-03,-0.093875
2019-07-02,0.2482
2019-06-05,0.0258
2019-05-27,0.10405
2019-05-22,-0.2842
2019-05-21,-0.28555
2019-05-10,0.43415
2019-04-30,0.234
2019-04-29,0.0
2019-04-25,0.401
2019-04-24,0.401
2019-04-23,0.06245
2019-04-22,-0.367825
2019-04-19,0.31245
2019-04-18,-0.731
2019-04-10,0.10115
2019-04-05,0.11315
2019-04-03,0.31245
2019-04-02,0.7935
2019-04-01,0.28595
2019-03-27,0.3793
2019-03-25,0.38225
2019-03-21,0.3753
2019-03-20,-0.05575
2019-03-19,0.369367
2019-03-13,0.0
2019-03-06,0.218475
2019-03-05,0.42405
2019-02-27,0.32255
2019-02-26,0.55615
2019-02-22,0.451075
2019-02-21,0.186512
2019-02-12,-0.2804
2019-02-01,0.3243
2019-01-31,0.2603
2019-01-23,0.7567
2019-01-22,0.11775
2019-01-09,0.2587
2019-01-08,-0.027275
2018-12-14,-0.36605
2018-12-12,0.3982
2018-12-03,-0.24695
2018-11-23,-0.84695
2018-11-11,0.0
2018-11-09,0.31245
2018-11-08,0.28595
2018-10-31,-0.25825
2018-10-24,0.4063
2018-10-17,0.3612
2018-10-10,0.2202
2018-10-06,0.36465
2018-10-05,0.63705
2018-09-21,0.2366
2018-09-19,0.1366
2018-09-18,-0.01815
2018-09-17,0.0
2018-09-16,0.0
2018-09-15,0.43125
2018-09-12,0.44715
2018-09-07,0.4158
2018-09-06,0.6711
2018-08-22,0.4311
2018-08-15,0.4587
2018-08-13,0.6047
2018-08-10,0.311083
2018-08-09,0.300675
2018-08-08,0.71095
2018-08-01,0.26335
2018-07-31,0.70825
2018-07-30,0.3953
2018-07-25,0.66325
2018-07-22,0.752225
2018-07-13,-0.3404
2018-07-10,0.6721
2018-07-09,0.20095
2018-07-06,-0.17715
2018-07-05,0.67645
2018-06-29,-0.30405
2018-06-28,-0.4643
2018-06-27,0.4329
2018-06-13,0.45405
2018-06-07,0.87105
2018-06-06,0.8734
2018-05-29,0.85655
2018-05-28,0.113425
2018-05-26,-0.27155
2018-05-25,0.289
2018-05-23,0.4037
2018-05-20,0.17
2018-04-26,0.47295
2018-04-11,-0.12195
2018-04-06,0.44795
2018-04-04,0.3243
2018-03-26,-0.4063
2018-03-14,0.37895
2018-03-08,0.6708
2018-02-25,0.36675
2018-02-21,0.08615
2018-02-20,-0.73425
2018-02-14,0.54495
2018-02-11,-0.0228
2018-02-09,-0.3682
2018-02-08,0.10705
2018-02-07,0.30515
2018-02-06,0.1139
2018-02-05,-0.21275
2018-02-03,0.2787
2018-02-02,-0.46045
2018-02-01,0.68025
2018-01-31,0.70025
2018-01-26,0.42955
2018-01-25,0.6328
2018-01-24,0.197
2018-01-20,0.3953
2018-01-19,-0.73855
2018-01-17,0.32985
2018-01-10,0.7852
2018-01-09,0.93355
