Date,Sentiment
2019-12-13,0.0632
2019-12-12,0.453017
2019-12-06,-0.6029
2019-12-05,0.0989
2019-12-04,-0.2875
2019-12-02,-0.02345
2019-12-01,0.2377
2019-11-27,-0.3445
2019-11-26,-0.33235
2019-11-22,-0.1738
2019-11-21,-0.1806
2019-11-20,-0.037725
2019-11-19,0.237525
2019-11-17,-0.2461
2019-11-15,0.48895
2019-11-14,-0.3235
2019-11-13,0.1909
2019-11-12,-0.047
2019-11-11,-0.2001
2019-11-07,-0.3725
2019-11-05,0.17
2019-11-01,0.401
2019-10-30,-0.1057
2019-10-29,0.388117
2019-10-26,0.444525
2019-10-25,0.375875
2019-10-24,-0.111675
2019-10-23,0.025675
2019-10-21,0.04385
2019-10-19,0.2997
2019-10-16,-0.112
2019-10-15,0.324733
2019-10-08,0.05035
2019-10-02,0.233183
2019-10-01,-0.45805
2019-09-25,0.1001
2019-09-24,-0.24535
2019-09-20,0.17315
2019-09-19,0.6054
2019-09-17,0.2294
2019-09-14,0.172667
2019-09-13,0.01375
2019-09-12,-0.6686
2019-09-11,0.0
2019-09-10,0.0
2019-09-09,0.0374
2019-09-08,-0.07655
2019-09-05,0.62845
2019-08-30,-0.033475
2019-08-29,0.09105
2019-08-28,-0.2282
2019-08-24,-0.2195
2019-08-20,0.11475
2019-08-14,0.2997
2019-08-08,0.3454
2019-08-07,0.3454
2019-08-05,0.8236
2019-08-03,0.4745
2019-07-31,0.11905
2019-07-27,0.0488
2019-07-26,0.538525
2019-07-17,-0.16785
2019-07-16,-0.4372
2019-07-15,-0.27225
2019-07-13,0.40235
2019-07-12,0.2849
2019-07-09,0.31845
2019-07-06,-0.8705
2019-07-05,-0.79375
2019-07-03,0.83395
2019-07-02,0.333475
2019-06-26,0.3548
2019-06-25,0.37835
2019-06-19,0.20095
2019-06-14,-0.7176
2019-06-12,-0.163
2019-06-11,0.61335
2019-06-10,0.11315
2019-06-08,-0.5719
2019-06-07,-0.35605
2019-06-06,0.2997
2019-06-01,0.26335
2019-05-24,0.106
2019-05-21,-0.189362
2019-05-20,-0.1872
2019-05-15,0.049225
2019-05-14,0.3454
2019-05-09,0.47975
2019-05-08,0.340225
2019-05-06,0.0
2019-05-01,0.1123
2019-04-30,0.01275
2019-04-26,-0.3548
2019-04-18,-0.1757
2019-04-17,-0.136483
2019-04-15,0.3062
2019-04-14,-0.1571
2019-04-02,0.63935
2019-03-28,0.1271
2019-03-27,0.408075
2019-03-24,0.3454
2019-03-23,-0.210675
2019-03-22,0.272025
2019-03-21,-0.198267
2019-03-20,-0.16735
2019-03-18,0.43395
2019-03-15,-0.08895
2019-03-14,-0.3243
2019-03-13,-0.57085
2019-03-12,-0.09505
2019-03-03,0.3548
2019-02-22,-0.268
2019-02-14,-0.0926
2019-02-12,-0.5836
2019-02-11,-0.32495
2019-02-05,0.3062
2019-02-02,0.37095
2019-02-01,0.23835
2019-01-31,0.514775
2019-01-21,0.11405
2019-01-16,-0.3397
2019-01-11,-0.5462
2019-01-04,-0.05135
2019-01-03,0.0064
2018-12-27,0.148
2018-12-26,0.148
2018-12-23,0.0
2018-12-22,-0.355275
2018-12-20,-0.6893
2018-12-19,-0.6423
2018-12-18,-0.13645
2018-12-17,0.36375
2018-12-13,0.60515
2018-12-12,-0.157233
2018-12-11,0.0
2018-12-10,0.39225
2018-11-27,-0.170825
2018-11-22,-0.05135
2018-11-19,0.23775
2018-11-10,-0.25825
2018-11-09,-0.04175
2018-11-08,-0.125
2018-11-07,-0.125
2018-11-02,-0.64265
2018-11-01,-0.70675
2018-10-27,-0.02585
2018-10-26,-0.7807
2018-10-17,0.44025
2018-10-16,0.73035
2018-10-12,0.61435
2018-10-11,0.064
2018-10-10,-0.1479
2018-10-09,-0.24935
2018-09-27,-0.418
2018-09-26,0.5393
2018-09-22,0.0231
2018-09-21,-0.424825
2018-09-18,0.21075
2018-09-13,-0.1897
2018-09-12,-0.47965
2018-09-05,0.3592
2018-09-04,0.3592
2018-09-01,0.3454
2018-08-31,-0.363275
2018-08-30,-0.213075
2018-08-29,0.12695
2018-08-28,-0.54195
2018-08-25,0.030775
2018-08-24,0.3057
2018-08-23,-0.03605
2018-08-20,-0.4807
2018-08-18,-0.49665
2018-08-17,0.13895
2018-08-12,0.21915
2018-08-07,0.3451
2018-08-06,0.08805
2018-08-03,-0.20095
2018-08-02,-0.040675
2018-08-01,0.0
2018-07-29,0.3283
2018-07-24,0.60445
2018-07-22,0.3953
2018-07-21,0.3953
2018-07-19,0.0118
2018-07-18,0.04095
2018-07-17,0.3538
2018-06-28,0.35
2018-06-27,0.48325
2018-06-25,0.3363
2018-06-21,-0.0282
2018-06-19,0.38585
2018-06-18,-0.225625
2018-06-12,0.21075
2018-06-09,-0.71295
2018-06-08,-0.43105
2018-06-07,0.47055
2018-06-05,-0.4467
2018-06-02,0.1916
2018-05-16,-0.1806
2018-05-15,-0.23195
2018-05-10,0.36555
2018-05-09,0.465475
2018-05-04,-0.08995
2018-05-03,-0.148
2018-04-26,0.2202
2018-04-25,0.64265
2018-04-24,0.79455
2018-04-23,0.33525
2018-04-22,-0.5095
2018-04-21,0.6304
2018-04-20,-0.67125
2018-04-19,0.31775
2018-04-18,0.4097
2018-04-15,-0.69125
2018-04-14,-0.42245
2018-04-13,-0.20585
2018-04-01,0.2997
2018-03-26,-0.68545
2018-03-23,-0.2611
2018-03-21,-0.044475
2018-03-20,0.400033
2018-03-14,0.07515
2018-03-13,-0.3149
2018-03-10,0.467325
2018-02-28,-0.0992
2018-02-27,-0.0992
2018-02-13,0.31245
2018-02-08,0.17
2018-01-31,-0.20945
2018-01-30,0.2997
2018-01-29,0.47115
2018-01-20,-0.1976
2018-01-19,0.31845
2018-01-17,0.5842
2018-01-16,-0.4934
2018-01-09,-0.6797
2017-12-22,0.1591
2017-12-20,-0.0129
2017-12-19,0.4455
2017-12-14,0.40495
2017-12-13,0.553183
2017-12-04,0.181725
2017-12-01,-0.05135
2017-11-23,0.0717
2017-11-22,0.4221
2017-11-17,-0.8024
2017-11-03,0.45875
2017-11-02,0.288525
2017-10-28,0.0
2017-10-27,0.064
2017-10-19,0.15
2017-10-18,0.3119
2017-10-13,0.3715
2017-10-11,0.209525
2017-10-10,0.0061
2017-10-09,-0.11315
2017-10-08,0.4477
2017-10-06,0.38915
2017-10-05,0.246433
2017-10-04,-0.1909
2017-10-03,0.5706
2017-10-02,0.7689
2017-09-30,0.29295
2017-09-28,0.55235
2017-09-26,0.27115
2017-09-22,0.3715
2017-09-21,0.0129
2017-09-20,0.24915
2017-09-19,0.24915
2017-09-18,0.21075
2017-09-15,-0.1234
2017-09-11,0.33515
2017-08-31,0.443
2017-08-30,0.437517
2017-08-24,-0.1909
2017-08-23,0.08895
2017-08-22,0.0267
2017-08-19,0.38155
2017-08-18,0.2873
2017-08-17,-0.33525
2017-08-15,-0.58085
2017-08-14,0.4336
2017-08-12,0.2787
2017-08-11,-0.02565
2017-08-09,-0.53505
2017-08-08,-0.452875
2017-08-07,-0.24835
2017-08-04,-0.3452
