Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,3.97,4.02,3.97,4.0,3.951456,6607600
2019-06-06,3.99,4.04,3.97,4.02,3.971214,6601900
2019-06-07,4.01,4.08,4.01,4.08,4.030485,9314100
2019-06-10,4.08,4.08,4.04,4.06,4.010728,5551800
2019-06-11,4.07,4.1,4.05,4.09,4.040364,4035500
2019-06-12,4.07,4.1,4.05,4.09,4.040364,5490100
2019-06-13,4.09,4.1,4.06,4.1,4.050242,3474300
2019-06-14,4.07,4.11,4.05,4.11,4.060122,7949900
2019-06-17,4.08,4.1,4.06,4.07,4.020607,4826400
2019-06-18,4.09,4.1,4.07,4.1,4.050242,1983700
2019-06-19,4.11,4.18,4.11,4.17,4.119393,4990000
2019-06-20,4.17,4.2,4.15,4.17,4.119393,3775700
2019-06-21,4.18,4.19,4.14,4.16,4.109514,5942700
2019-06-24,4.15,4.18,4.15,4.16,4.109514,2420600
2019-06-25,4.17,4.18,4.12,4.14,4.089757,5549300
2019-06-26,4.14,4.15,4.12,4.13,4.079879,3893800
2019-06-27,4.15,4.17,4.14,4.16,4.109514,6934900
2019-06-28,4.18,4.18,4.12,4.14,4.089757,4445600
2019-07-01,4.14,4.2,4.14,4.2,4.1490290000000005,3921600
2019-07-02,4.2,4.2,4.15,4.19,4.139151,3226600
2019-07-03,4.19,4.22,4.17,4.21,4.158908,5371500
2019-07-04,4.22,4.25,4.2,4.24,4.188543,3177200
2019-07-05,4.24,4.25,4.21,4.23,4.1786650000000005,1692900
2019-07-08,4.23,4.25,4.19,4.21,4.158908,2429600
2019-07-09,4.21,4.27,4.2,4.25,4.198422,3656000
2019-07-10,4.26,4.28,4.23,4.25,4.198422,2857800
2019-07-11,4.26,4.28,4.25,4.27,4.21818,2923300
2019-07-12,4.25,4.3,4.25,4.29,4.2379370000000005,2684900
2019-07-15,4.29,4.3,4.26,4.29,4.2379370000000005,2189100
2019-07-16,4.3,4.3,4.24,4.28,4.228058,2532400
2019-07-17,4.29,4.3,4.26,4.3,4.247816,2533700
2019-07-18,4.27,4.29,4.24,4.26,4.2083010000000005,2281400
2019-07-19,4.29,4.29,4.26,4.29,4.2379370000000005,2030000
2019-07-22,4.29,4.29,4.25,4.29,4.2379370000000005,1525800
2019-07-23,4.26,4.28,4.25,4.27,4.21818,1830200
2019-07-24,4.28,4.31,4.27,4.29,4.2379370000000005,4017400
2019-07-25,4.3,4.31,4.28,4.29,4.2379370000000005,4096000
2019-07-26,4.31,4.31,4.27,4.29,4.2379370000000005,2626400
2019-07-29,4.3,4.3,4.26,4.3,4.247816,1842700
2019-07-30,4.31,4.35,4.3,4.32,4.2675730000000005,2669100
2019-07-31,4.3,4.32,4.24,4.24,4.188543,5540400
2019-08-01,4.22,4.27,4.19,4.22,4.168786,3891700
2019-08-02,4.22,4.22,4.17,4.19,4.139151,4706400
2019-08-05,4.16,4.2,4.11,4.11,4.060122,2907300
2019-08-06,4.05,4.13,3.98,4.09,4.040364,6155700
2019-08-07,4.11,4.19,4.09,4.12,4.07,5218100
2019-08-08,4.15,4.25,4.14,4.22,4.168786,4247600
2019-08-13,4.31,4.31,4.24,4.27,4.21818,5600700
2019-08-14,4.3,4.3,4.19,4.22,4.168786,7038000
2019-08-15,4.16,4.16,4.05,4.07,4.020607,7130400
2019-08-16,4.08,4.09,4.02,4.04,3.990971,6327900
2019-08-19,4.04,4.11,4.04,4.11,4.060122,4536000
2019-08-20,4.1,4.13,4.1,4.12,4.07,3049900
2019-08-21,4.03,4.03,3.98,3.98,3.98,7478600
2019-08-22,3.97,4.02,3.94,4.02,4.02,5838600
2019-08-23,4.02,4.02,3.95,3.98,3.98,4064700
2019-08-26,3.89,3.94,3.88,3.92,3.92,3668300
2019-08-27,3.92,3.97,3.92,3.94,3.94,4211400
2019-08-28,3.92,3.96,3.92,3.95,3.95,3575800
2019-08-29,3.93,3.97,3.92,3.96,3.96,2691800
2019-08-30,3.98,3.98,3.92,3.94,3.94,4334400
2019-09-02,3.93,3.94,3.91,3.93,3.93,1770300
2019-09-03,3.94,3.99,3.93,3.99,3.99,3894200
2019-09-04,3.96,3.99,3.95,3.96,3.96,6738900
2019-09-05,3.96,3.98,3.94,3.96,3.96,4015300
2019-09-06,3.98,4.0,3.96,3.98,3.98,6678000
2019-09-09,3.98,3.99,3.95,3.98,3.98,2222100
2019-09-10,3.97,3.97,3.89,3.9,3.9,4529700
2019-09-11,3.9,3.94,3.9,3.93,3.93,3771900
2019-09-12,3.94,3.94,3.89,3.9,3.9,3745100
2019-09-13,3.9,3.93,3.9,3.92,3.92,2132700
2019-09-16,3.93,3.97,3.91,3.94,3.94,3220000
2019-09-17,3.95,3.95,3.9,3.9,3.9,2168900
2019-09-18,3.93,3.98,3.92,3.96,3.96,3575400
2019-09-19,3.96,3.96,3.92,3.92,3.92,3480300
2019-09-20,3.91,3.91,3.84,3.89,3.89,8936500
2019-09-23,3.89,3.93,3.87,3.88,3.88,2923900
2019-09-24,3.9,3.9,3.88,3.88,3.88,3002100
2019-09-25,3.88,3.89,3.85,3.85,3.85,3902200
2019-09-26,3.85,3.88,3.84,3.84,3.84,2374100
2019-09-27,3.86,3.86,3.82,3.84,3.84,3076400
2019-09-30,3.82,3.84,3.8,3.84,3.84,3398800
2019-10-01,3.85,3.87,3.84,3.85,3.85,2611800
2019-10-02,3.83,3.85,3.8,3.81,3.81,2409400
2019-10-03,3.78,3.81,3.76,3.81,3.81,4095600
2019-10-04,3.82,3.86,3.81,3.85,3.85,2953500
2019-10-07,3.85,3.93,3.84,3.91,3.91,3313600
2019-10-08,3.94,3.97,3.92,3.92,3.92,6845200
2019-10-09,3.94,4.0,3.92,3.97,3.97,6290200
2019-10-10,3.94,4.02,3.93,4.01,4.01,5530000
2019-10-11,4.03,4.03,3.98,4.02,4.02,4840700
2019-10-14,4.05,4.05,4.01,4.04,4.04,4419000
2019-10-15,4.04,4.04,3.98,3.99,3.99,2341400
2019-10-16,3.99,4.04,3.96,4.01,4.01,3473300
2019-10-17,4.02,4.02,3.96,3.98,3.98,3639600
2019-10-18,3.98,3.98,3.91,3.92,3.92,3506600
2019-10-21,3.91,3.95,3.9,3.92,3.92,4357700
2019-10-22,3.95,3.97,3.91,3.91,3.91,3702200
2019-10-23,3.92,3.94,3.88,3.89,3.89,3592100
2019-10-24,3.9,3.97,3.88,3.95,3.95,4343700
2019-10-25,3.96,4.0,3.94,3.97,3.97,2679900
2019-10-29,4.03,4.03,3.95,3.96,3.96,2907800
2019-10-30,3.98,3.98,3.91,3.91,3.91,5910900
2019-10-31,3.92,4.0,3.92,3.99,3.99,6272400
2019-11-01,4.0,4.04,3.96,4.01,4.01,4504900
2019-11-04,4.02,4.07,4.02,4.05,4.05,3893400
2019-11-05,4.04,4.1,4.02,4.1,4.1,5253100
2019-11-06,4.11,4.13,4.09,4.12,4.12,5399200
2019-11-07,4.13,4.14,4.09,4.13,4.13,4291700
2019-11-08,4.12,4.14,4.09,4.12,4.12,2814100
2019-11-11,4.1,4.11,4.0,4.0,4.0,6778200
2019-11-12,4.05,4.17,4.04,4.17,4.17,7073600
2019-11-13,4.17,4.17,4.12,4.15,4.15,4331100
2019-11-14,4.16,4.24,4.12,4.22,4.22,7332163
2019-11-15,4.25,4.25,4.16,4.21,4.21,5063500
2019-11-18,4.18,4.24,4.15,4.2,4.2,3531700
2019-11-19,4.17,4.2,4.14,4.18,4.18,3508700
2019-11-20,4.18,4.23,4.17,4.19,4.19,3133500
2019-11-21,4.15,4.18,4.13,4.16,4.16,3644600
2019-11-22,4.2,4.22,4.18,4.22,4.22,2503100
2019-11-25,4.24,4.27,4.2,4.23,4.23,4018200
2019-11-26,4.24,4.25,4.13,4.13,4.13,16918000
2019-11-27,4.16,4.19,4.14,4.17,4.17,4093900
2019-11-28,4.15,4.19,4.15,4.17,4.17,1971700
2019-11-29,4.16,4.17,4.11,4.13,4.13,4714400
2019-12-02,4.13,4.16,4.08,4.09,4.09,2794700
2019-12-03,4.04,4.1,4.04,4.06,4.06,4727600
2019-12-04,4.03,4.05,4.01,4.04,4.04,3867900
2019-12-05,4.05,4.11,4.04,4.09,4.09,2213000
2019-12-06,4.11,4.12,4.07,4.12,4.12,2806200
2019-12-09,4.14,4.14,4.04,4.05,4.05,4477500
2019-12-10,4.04,4.06,3.99,4.0,4.0,4595700
2019-12-11,4.02,4.03,3.99,4.01,4.01,7242700
2019-12-12,4.01,4.04,3.99,4.0,4.0,6567200
