Date,Sentiment
2019-11-26,-0.045
2019-11-25,-0.0579
2019-11-24,-0.002325
2019-11-23,0.33055
2019-11-22,0.21075
2019-11-14,0.3592
2019-11-13,0.11315
2019-10-30,0.2427
2019-10-26,0.07885
2019-10-25,-0.161817
2019-10-24,0.030575
2019-10-23,-0.9052
2019-10-17,0.5313
2019-10-03,0.29325
2019-09-25,-0.21385
2019-09-21,-0.33155
2019-08-11,-0.3902
2019-07-28,0.08275
2019-07-26,0.28175
2019-07-25,-0.0515
2019-07-03,0.42835
2019-06-25,-0.0129
2019-05-27,0.28595
2019-05-21,0.0551
2019-05-16,0.20095
2019-05-15,-0.5763
2019-05-14,-0.5292
2019-05-03,0.27385
2019-04-23,0.005933
2019-04-22,0.17
2019-04-05,-0.7274
2019-03-23,0.27115
2019-03-09,0.3753
2019-03-08,0.401
2019-03-02,-0.5986
2019-03-01,0.56975
2019-02-26,-0.29
2019-02-23,0.0129
2019-02-22,0.0
2019-02-02,0.1366
2019-01-19,0.0
2019-01-09,-0.8566
2019-01-08,0.21075
2019-01-07,0.0
2019-01-04,0.07805
2018-12-29,0.3715
2018-12-28,-0.08895
2018-12-07,0.1806
2018-11-24,0.24695
2018-11-22,-0.0546
2018-11-09,-0.229325
2018-10-25,0.61865
2018-10-18,0.3548
2018-10-05,-0.48265
2018-09-30,0.1433
2018-09-29,-0.5248
2018-09-28,-0.35695
2018-09-20,0.2553
2018-09-19,-0.00805
2018-09-07,-0.171475
2018-09-01,0.35815
2018-08-31,0.29125
2018-08-28,0.05525
2018-08-27,-0.6052
2018-08-26,0.0703
2018-08-25,0.0258
2018-08-24,0.02035
2018-08-20,0.03935
2018-08-19,-0.18185
2018-08-18,-0.05335
2018-08-17,-0.375675
2018-08-16,0.186533
2018-08-15,0.28015
2018-08-14,0.327133
2018-08-10,0.27325
2018-08-09,0.226775
2018-08-08,0.13845
2018-08-04,0.36345
2018-08-03,0.6155
2018-08-02,-0.3805
2018-07-24,-0.3045
2018-07-17,-0.3682
2018-07-10,-0.3383
2018-07-06,0.64515
2018-07-03,0.30375
2018-07-02,0.30375
2018-06-22,-0.31245
2018-06-19,-0.7003
2018-06-18,-0.148
2018-06-13,0.4701
2018-06-06,0.01205
2018-06-03,-0.3292
2018-05-22,-0.3548
2018-05-04,0.1877
2018-05-03,0.295
2018-04-21,0.17
2018-04-04,0.48245
2018-04-03,0.1342
2018-04-02,-0.67265
2018-04-01,-0.7776
2018-03-31,-0.6787
2018-03-28,-0.68995
2018-03-24,-0.17635
2018-03-09,0.5647
2018-03-07,0.34765
2018-02-14,-0.125
2018-02-04,-0.064
2018-02-03,0.4648
2018-02-01,-0.29915
